StationID,time,lat,lon,Wave_Height_Significant,Wave_Maximum_Height,Wave_Peak_Period,Wave_Mean_Period,Wind_Speed,Wind_Gust_Speed,Wind_Direction,Air_Pressure,Sea_Temperature,Current_Speed
Vector_NAMR_FB_31A0005,2026-05-30 17:00:00,25.14255,121.8115,0.9,,6.2,,4.81,5.42,163.5,1010.1,26.12,0.05
Vector_NAMR_FB_31A0005,2026-05-30 18:00:00,25.14255,121.8115,1,,6.1,,4.6,5.8,75,1010.6,26.1,0.05
Vector_NAMR_FB_31A0005,2026-05-30 19:00:00,25.14255,121.8115,1,,5.8,,4.86,6.21,342.3,1010.8,25.69,0.05
Vector_NAMR_FB_31A0005,2026-05-30 20:00:00,25.14255,121.8115,1,,6,,4.52,5.54,151.8,1011,25.31,0.11
Vector_NAMR_FB_31A0005,2026-05-30 21:00:00,25.14255,121.8115,0.7,,6.5,,4.46,5.27,2,1011.4,26.08,0.09
Vector_NAMR_FB_31A0005,2026-05-30 22:00:00,25.14255,121.8115,0.7,,6.4,,2.2,2.55,132.1,1011.6,25.89,0.14
Vector_NAMR_FB_31A0005,2026-05-30 23:00:00,25.14255,121.8115,0.6,,6,,0.93,1.66,334.6,1011.4,25.78,0.06
Vector_NAMR_FB_31A0005,2026-05-31 00:00:00,25.14255,121.8115,0.6,,6.4,,1.46,2.18,46.6,1010.8,25.69,0.12
Vector_NAMR_FB_31A0005,2026-05-31 01:00:00,25.14255,121.8115,0.8,,6.4,,0.99,1.58,272.4,1010,25.75,0.07
Vector_NAMR_FB_31A0005,2026-05-31 02:00:00,25.14255,121.8115,0.8,,5.8,,2.03,3.05,140.7,1009.5,25.66,0.04
Vector_NAMR_FB_YuanBeiYu,2026-05-29 00:00:00,23.648399,119.638084,0.05,,5,,5.2,,185,1010.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 01:00:00,23.648399,119.638084,0.05,,5.2,,3.4,,188,1008.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 02:00:00,23.648399,119.638084,0.05,,4.5,,4.8,,181,1009.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 03:00:00,23.648399,119.638084,0.08,,3,,2.9,,209,1010.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 04:00:00,23.648399,119.638084,0.08,,3.7,,2.2,,264,1010.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 05:00:00,23.648399,119.638084,0.07,,3,,2.6,,211,1010.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 06:00:00,23.648399,119.638084,0.06,,2.7,,0.4,,7,1011.2,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 07:00:00,23.648399,119.638084,0.07,,2.8,,2.8,,274,1011.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 08:00:00,23.648399,119.638084,0.08,,3.4,,4.7,,22,1012.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 09:00:00,23.648399,119.638084,0.08,,3.9,,4.9,,15,1011.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 10:00:00,23.648399,119.638084,0.09,,3.4,,3,,34,1011.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 11:00:00,23.648399,119.638084,0.12,,2.3,,6.7,,21,1011.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 12:00:00,23.648399,119.638084,0.13,,2.9,,6.5,,9,1011.2,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 13:00:00,23.648399,119.638084,0.1,,4,,6.2,,7,1011.2,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 14:00:00,23.648399,119.638084,0.11,,3.7,,6.8,,352,1009.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 15:00:00,23.648399,119.638084,0.17,,4.1,,9.6,,15,1009.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 16:00:00,23.648399,119.638084,0.29,,4,,9.8,,37,1008.1,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 17:00:00,23.648399,119.638084,0.26,,4.4,,8.6,,23,1010.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 18:00:00,23.648399,119.638084,0.26,,5.6,,9.7,,38,1009.1,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 19:00:00,23.648399,119.638084,0.23,,6.2,,8.9,,28,1009.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 20:00:00,23.648399,119.638084,0.3,,6.3,,10.8,,20,1011.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 21:00:00,23.648399,119.638084,0.37,,6.1,,10.6,,20,1011.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 22:00:00,23.648399,119.638084,0.3,,7.4,,5.7,,16,1011.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-29 23:00:00,23.648399,119.638084,0.41,,7.6,,7.1,,32,1011.9,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 00:00:00,23.648399,119.638084,0.42,,7.4,,0.8,,271,1011.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 01:00:00,23.648399,119.638084,0.41,,7.1,,0.2,,105,1010.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 02:00:00,23.648399,119.638084,0.44,,6,,9.3,,5,1010.8,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 03:00:00,23.648399,119.638084,0.37,,6.6,,9,,5,1010.2,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 04:00:00,23.648399,119.638084,0.48,,6.8,,8.7,,17,1009.1,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 05:00:00,23.648399,119.638084,0.43,,6.6,,9.4,,21,1008.5,,
Vector_NAMR_FB_YuanBeiYu,2026-05-30 06:00:00,23.648399,119.638084,0.42,,6.3,,9.6,,24,1009.8,,
