kind,year,month,station,date,lat,lon,depth_m,temperature_c,salinity_psu,chl_gt10,chl_lt10,record_id
TS,2004,8,24,2004/8/8,21.5,121.0,5.0,28.88,34.1,,,272
TS,2004,8,24,2004/8/8,21.5,121.0,25.0,28.28,34.07,,,272
TS,2004,8,24,2004/8/8,21.5,121.0,50.0,27.37,34.26,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,5.0,29.34,34.0,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,25.0,29.26,34.0,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,50.0,27.13,34.44,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,5.0,29.33,34.13,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,25.0,28.78,34.19,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,50.0,27.12,34.46,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,5.0,29.74,33.73,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,25.0,28.8,34.15,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,50.0,26.2,34.45,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,5.0,29.41,34.04,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,25.0,28.25,34.07,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,50.0,25.92,34.28,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,5.0,29.92,33.94,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,25.0,29.28,33.96,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,50.0,25.6,34.34,,,272
TS,2004,8,30,2004/8/9,22.0,119.5,5.0,28.98,34.22,,,272
TS,2004,8,30,2004/8/9,22.0,119.5,25.0,28.53,34.33,,,272
TS,2004,8,30,2004/8/9,22.0,119.5,50.0,27.28,34.41,,,272
TS,2004,8,31,2004/8/9,22.0,120.0,5.0,29.26,34.16,,,272
TS,2004,8,31,2004/8/9,22.0,120.0,25.0,28.88,34.23,,,272
TS,2004,8,31,2004/8/9,22.0,120.0,50.0,27.61,34.35,,,272
TS,2004,8,32,2004/8/9,22.0,120.5,5.0,29.11,33.92,,,272
TS,2004,8,32,2004/8/9,22.0,120.5,25.0,28.41,34.01,,,272
TS,2004,8,32,2004/8/9,22.0,120.5,50.0,27.21,34.17,,,272
TS,2004,8,59,2004/9/8,26.0,123.0,5.0,28.63,34.22,,,272
TS,2004,8,59,2004/9/8,26.0,123.0,25.0,28.61,34.22,,,272
TS,2004,8,59,2004/9/8,26.0,123.0,50.0,26.31,34.37,,,272
TS,2004,8,60,2004/9/8,25.5,123.0,5.0,28.45,34.17,,,272
TS,2004,8,60,2004/9/8,25.5,123.0,25.0,28.36,34.19,,,272
TS,2004,8,60,2004/9/8,25.5,123.0,50.0,28.26,34.21,,,272
CHL,2009,1,1,2009/1/17 0640-1713,24.5,122.0,365.0,,,0.018,0.09,332
CHL,2009,1,2,2009/1/17 0256-0406,25.0,122.5,1442.0,,,0.033,0.199,332
CHL,2009,1,3,2009/1/16 1947-2029,25.0,122.0,1622.0,,,0.025,0.135,332
CHL,2009,1,4,2009/1/16 1608-1646,24.5,122.5,585.0,,,0.029,0.22,332
CHL,2009,1,5,2009/1/16 1320-1405,24.5,122.0,805.0,,,0.016,0.198,332
CHL,2009,1,6,2009/1/16 1008-1105,24.0,121.6666,666.0,,,0.022,0.213,332
CHL,2009,1,7,2009/1/16 0730-0822,24.75,122.0,3256.0,,,0.015,0.175,332
CHL,2009,1,8,2009/1/16 0423-0504,23.75,122.5,3104.0,,,0.016,0.151,332
CHL,2009,1,9,2009/1/16 0110-0203,23.75,123.0,3640.0,,,0.019,0.186,332
CHL,2009,1,10,2009/1/15 2030-2120,23.0,123.0,5274.0,,,0.029,0.178,332
CHL,2009,1,11,2009/1/15 0140-0240,23.0,122.5,5503.0,,,0.035,0.181,332
CHL,2009,1,12,2009/1/15 0500-0530,23.0,122.0,4866.0,,,0.01,0.197,332
